Catalog_Item_Number__c,Title__c,CSO_Short_Name__c,Description__c,List_Unit_Price__c,Pricing_Unit__c,JWCC_Unit_Price__c,JWCC_Unit_Of_Issue__c,Discount_Premium_Fee__c
DEMO-P-202601-00050,Mock AWS catalog line 50 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 50; safe for POC uploads.,13.49,Each,11.8712,Each,
DEMO-P-202601-00051,Mock AWS catalog line 51 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 51; safe for POC uploads.,13.56,GB-Mo,11.9328,GB-Mo,Standard
DEMO-P-202601-00052,Mock AWS catalog line 52 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 52; safe for POC uploads.,13.63,Each,11.9944,Each,Standard
DEMO-P-202601-00053,Mock AWS catalog line 53 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 53; safe for POC uploads.,13.7,GB-Mo,12.056,GB-Mo,Standard
DEMO-P-202601-00054,Mock AWS catalog line 54 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 54; safe for POC uploads.,13.77,Each,12.1176,Each,Standard
DEMO-P-202601-00055,Mock AWS catalog line 55 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 55; safe for POC uploads.,13.84,GB-Mo,12.1792,GB-Mo,
DEMO-P-202601-00056,Mock AWS catalog line 56 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 56; safe for POC uploads.,13.91,Each,12.2408,Each,Standard
DEMO-P-202601-00057,Mock AWS catalog line 57 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 57; safe for POC uploads.,13.98,GB-Mo,12.3024,GB-Mo,Standard
DEMO-P-202601-00058,Mock AWS catalog line 58 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 58; safe for POC uploads.,14.05,Each,12.364,Each,Standard
DEMO-P-202601-00059,Mock AWS catalog line 59 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 59; safe for POC uploads.,14.12,GB-Mo,12.4256,GB-Mo,Standard
DEMO-P-202601-00060,Mock AWS catalog line 60 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 60; safe for POC uploads.,14.19,Each,12.4872,Each,
DEMO-P-202601-00061,Mock AWS catalog line 61 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 61; safe for POC uploads.,14.26,GB-Mo,12.5488,GB-Mo,Standard
DEMO-P-202601-00062,Mock AWS catalog line 62 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 62; safe for POC uploads.,14.33,Each,12.6104,Each,Standard
DEMO-P-202601-00063,Mock AWS catalog line 63 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 63; safe for POC uploads.,14.4,GB-Mo,12.672,GB-Mo,Standard
DEMO-P-202601-00064,Mock AWS catalog line 64 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 64; safe for POC uploads.,14.47,Each,12.7336,Each,Standard
DEMO-P-202601-00065,Mock AWS catalog line 65 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 65; safe for POC uploads.,14.54,GB-Mo,12.7952,GB-Mo,
DEMO-P-202601-00066,Mock AWS catalog line 66 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 66; safe for POC uploads.,14.61,Each,12.8568,Each,Standard
DEMO-P-202601-00067,Mock AWS catalog line 67 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 67; safe for POC uploads.,14.68,GB-Mo,12.9184,GB-Mo,Standard
DEMO-P-202601-00068,Mock AWS catalog line 68 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 68; safe for POC uploads.,14.75,Each,12.98,Each,Standard
DEMO-P-202601-00069,Mock AWS catalog line 69 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 69; safe for POC uploads.,14.82,GB-Mo,13.0416,GB-Mo,Standard
DEMO-P-202601-00070,Mock AWS catalog line 70 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 70; safe for POC uploads.,14.89,Each,13.1032,Each,
DEMO-P-202601-00071,Mock AWS catalog line 71 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 71; safe for POC uploads.,14.96,GB-Mo,13.1648,GB-Mo,Standard
DEMO-P-202601-00072,Mock AWS catalog line 72 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 72; safe for POC uploads.,15.03,Each,13.2264,Each,Standard
DEMO-P-202601-00073,Mock AWS catalog line 73 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 73; safe for POC uploads.,15.1,GB-Mo,13.288,GB-Mo,Standard
DEMO-P-202601-00074,Mock AWS catalog line 74 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 74; safe for POC uploads.,15.17,Each,13.3496,Each,Standard
DEMO-P-202601-00075,Mock AWS catalog line 75 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 75; safe for POC uploads.,15.24,GB-Mo,13.4112,GB-Mo,
DEMO-P-202601-00076,Mock AWS catalog line 76 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 76; safe for POC uploads.,15.31,Each,13.4728,Each,Standard
DEMO-P-202601-00077,Mock AWS catalog line 77 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 77; safe for POC uploads.,15.38,GB-Mo,13.5344,GB-Mo,Standard
DEMO-P-202601-00078,Mock AWS catalog line 78 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 78; safe for POC uploads.,15.45,Each,13.596,Each,Standard
DEMO-P-202601-00079,Mock AWS catalog line 79 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 79; safe for POC uploads.,15.52,GB-Mo,13.6576,GB-Mo,Standard
DEMO-P-202601-00080,Mock AWS catalog line 80 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 80; safe for POC uploads.,15.59,Each,13.7192,Each,
DEMO-P-202601-00081,Mock AWS catalog line 81 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 81; safe for POC uploads.,15.66,GB-Mo,13.7808,GB-Mo,Standard
DEMO-P-202601-00082,Mock AWS catalog line 82 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 82; safe for POC uploads.,15.73,Each,13.8424,Each,Standard
DEMO-P-202601-00083,Mock AWS catalog line 83 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 83; safe for POC uploads.,15.8,GB-Mo,13.904,GB-Mo,Standard
DEMO-P-202601-00084,Mock AWS catalog line 84 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 84; safe for POC uploads.,15.87,Each,13.9656,Each,Standard
DEMO-P-202601-00085,Mock AWS catalog line 85 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 85; safe for POC uploads.,15.94,GB-Mo,14.0272,GB-Mo,
DEMO-P-202601-00086,Mock AWS catalog line 86 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 86; safe for POC uploads.,16.01,Each,14.0888,Each,Standard
DEMO-P-202601-00087,Mock AWS catalog line 87 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 87; safe for POC uploads.,16.08,GB-Mo,14.1504,GB-Mo,Standard
DEMO-P-202601-00088,Mock AWS catalog line 88 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 88; safe for POC uploads.,16.15,Each,14.212,Each,Standard
DEMO-P-202601-00089,Mock AWS catalog line 89 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 89; safe for POC uploads.,16.22,GB-Mo,14.2736,GB-Mo,Standard
DEMO-P-202601-00090,Mock AWS catalog line 90 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 90; safe for POC uploads.,16.29,Each,14.3352,Each,
DEMO-P-202601-00091,Mock AWS catalog line 91 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 91; safe for POC uploads.,16.36,GB-Mo,14.3968,GB-Mo,Standard
DEMO-P-202601-00092,Mock AWS catalog line 92 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 92; safe for POC uploads.,16.43,Each,14.4584,Each,Standard
DEMO-P-202601-00093,Mock AWS catalog line 93 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 93; safe for POC uploads.,16.5,GB-Mo,14.52,GB-Mo,Standard
DEMO-P-202601-00094,Mock AWS catalog line 94 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 94; safe for POC uploads.,16.57,Each,14.5816,Each,Standard
DEMO-P-202601-00095,Mock AWS catalog line 95 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 95; safe for POC uploads.,16.64,GB-Mo,14.6432,GB-Mo,
DEMO-P-202601-00096,Mock AWS catalog line 96 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 96; safe for POC uploads.,16.71,Each,14.7048,Each,Standard
DEMO-P-202601-00097,Mock AWS catalog line 97 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 97; safe for POC uploads.,16.78,GB-Mo,14.7664,GB-Mo,Standard
DEMO-P-202601-00098,Mock AWS catalog line 98 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 98; safe for POC uploads.,16.85,Each,14.828,Each,Standard
DEMO-P-202601-00099,Mock AWS catalog line 99 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 99; safe for POC uploads.,16.92,GB-Mo,14.8896,GB-Mo,Standard
DEMO-P-202601-00100,Mock AWS catalog line 100 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 100; safe for POC uploads.,16.99,Each,14.9512,Each,
DEMO-P-202601-00101,Mock AWS catalog line 101 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 101; safe for POC uploads.,17.06,GB-Mo,15.0128,GB-Mo,Standard
DEMO-P-202601-00102,Mock AWS catalog line 102 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 102; safe for POC uploads.,17.13,Each,15.0744,Each,Standard
DEMO-P-202601-00103,Mock AWS catalog line 103 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 103; safe for POC uploads.,17.2,GB-Mo,15.136,GB-Mo,Standard
DEMO-P-202601-00104,Mock AWS catalog line 104 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 104; safe for POC uploads.,17.27,Each,15.1976,Each,Standard
DEMO-P-202601-00105,Mock AWS catalog line 105 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 105; safe for POC uploads.,17.34,GB-Mo,15.2592,GB-Mo,
DEMO-P-202601-00106,Mock AWS catalog line 106 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 106; safe for POC uploads.,17.41,Each,15.3208,Each,Standard
DEMO-P-202601-00107,Mock AWS catalog line 107 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 107; safe for POC uploads.,17.48,GB-Mo,15.3824,GB-Mo,Standard
DEMO-P-202601-00108,Mock AWS catalog line 108 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 108; safe for POC uploads.,17.55,Each,15.444,Each,Standard
DEMO-P-202601-00109,Mock AWS catalog line 109 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 109; safe for POC uploads.,17.62,GB-Mo,15.5056,GB-Mo,Standard
DEMO-P-202601-00110,Mock AWS catalog line 110 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 110; safe for POC uploads.,17.69,Each,15.5672,Each,
DEMO-P-202601-00111,Mock AWS catalog line 111 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 111; safe for POC uploads.,17.76,GB-Mo,15.6288,GB-Mo,Standard
DEMO-P-202601-00112,Mock AWS catalog line 112 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 112; safe for POC uploads.,17.83,Each,15.6904,Each,Standard
DEMO-P-202601-00113,Mock AWS catalog line 113 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 113; safe for POC uploads.,17.9,GB-Mo,15.752,GB-Mo,Standard
DEMO-P-202601-00114,Mock AWS catalog line 114 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 114; safe for POC uploads.,17.97,Each,15.8136,Each,Standard
DEMO-P-202601-00115,Mock AWS catalog line 115 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 115; safe for POC uploads.,18.04,GB-Mo,15.8752,GB-Mo,
DEMO-P-202601-00116,Mock AWS catalog line 116 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 116; safe for POC uploads.,18.11,Each,15.9368,Each,Standard
DEMO-P-202601-00117,Mock AWS catalog line 117 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 117; safe for POC uploads.,18.18,GB-Mo,15.9984,GB-Mo,Standard
DEMO-P-202601-00118,Mock AWS catalog line 118 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 118; safe for POC uploads.,18.25,Each,16.06,Each,Standard
DEMO-P-202601-00119,Mock AWS catalog line 119 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 119; safe for POC uploads.,18.32,GB-Mo,16.1216,GB-Mo,Standard
DEMO-P-202601-00120,Mock AWS catalog line 120 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 120; safe for POC uploads.,18.39,Each,16.1832,Each,
DEMO-P-202601-00121,Mock AWS catalog line 121 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 121; safe for POC uploads.,18.46,GB-Mo,16.2448,GB-Mo,Standard
DEMO-P-202601-00122,Mock AWS catalog line 122 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 122; safe for POC uploads.,18.53,Each,16.3064,Each,Standard
DEMO-P-202601-00123,Mock AWS catalog line 123 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 123; safe for POC uploads.,18.6,GB-Mo,16.368,GB-Mo,Standard
DEMO-P-202601-00124,Mock AWS catalog line 124 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 124; safe for POC uploads.,18.67,Each,16.4296,Each,Standard
DEMO-P-202601-00125,Mock AWS catalog line 125 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 125; safe for POC uploads.,18.74,GB-Mo,16.4912,GB-Mo,
DEMO-P-202601-00126,Mock AWS catalog line 126 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 126; safe for POC uploads.,18.81,Each,16.5528,Each,Standard
DEMO-P-202601-00127,Mock AWS catalog line 127 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 127; safe for POC uploads.,18.88,GB-Mo,16.6144,GB-Mo,Standard
DEMO-P-202601-00128,Mock AWS catalog line 128 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 128; safe for POC uploads.,18.95,Each,16.676,Each,Standard
DEMO-P-202601-00129,Mock AWS catalog line 129 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 129; safe for POC uploads.,19.02,GB-Mo,16.7376,GB-Mo,Standard
DEMO-P-202601-00130,Mock AWS catalog line 130 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 130; safe for POC uploads.,19.09,Each,16.7992,Each,
DEMO-P-202601-00131,Mock AWS catalog line 131 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 131; safe for POC uploads.,19.16,GB-Mo,16.8608,GB-Mo,Standard
DEMO-P-202601-00132,Mock AWS catalog line 132 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 132; safe for POC uploads.,19.23,Each,16.9224,Each,Standard
DEMO-P-202601-00133,Mock AWS catalog line 133 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 133; safe for POC uploads.,19.3,GB-Mo,16.984,GB-Mo,Standard
DEMO-P-202601-00134,Mock AWS catalog line 134 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 134; safe for POC uploads.,19.37,Each,17.0456,Each,Standard
DEMO-P-202601-00135,Mock AWS catalog line 135 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 135; safe for POC uploads.,19.44,GB-Mo,17.1072,GB-Mo,
DEMO-P-202601-00136,Mock AWS catalog line 136 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 136; safe for POC uploads.,19.51,Each,17.1688,Each,Standard
DEMO-P-202601-00137,Mock AWS catalog line 137 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 137; safe for POC uploads.,19.58,GB-Mo,17.2304,GB-Mo,Standard
DEMO-P-202601-00138,Mock AWS catalog line 138 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 138; safe for POC uploads.,19.65,Each,17.292,Each,Standard
DEMO-P-202601-00139,Mock AWS catalog line 139 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 139; safe for POC uploads.,19.72,GB-Mo,17.3536,GB-Mo,Standard
DEMO-P-202601-00140,Mock AWS catalog line 140 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 140; safe for POC uploads.,19.79,Each,17.4152,Each,
DEMO-P-202601-00141,Mock AWS catalog line 141 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 141; safe for POC uploads.,19.86,GB-Mo,17.4768,GB-Mo,Standard
DEMO-P-202601-00142,Mock AWS catalog line 142 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 142; safe for POC uploads.,19.93,Each,17.5384,Each,Standard
DEMO-P-202601-00143,Mock AWS catalog line 143 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 143; safe for POC uploads.,20,GB-Mo,17.6,GB-Mo,Standard
DEMO-P-202601-00144,Mock AWS catalog line 144 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 144; safe for POC uploads.,20.07,Each,17.6616,Each,Standard
DEMO-P-202601-00145,Mock AWS catalog line 145 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 145; safe for POC uploads.,20.14,GB-Mo,17.7232,GB-Mo,
DEMO-P-202601-00146,Mock AWS catalog line 146 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 146; safe for POC uploads.,20.21,Each,17.7848,Each,Standard
DEMO-P-202601-00147,Mock AWS catalog line 147 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 147; safe for POC uploads.,20.28,GB-Mo,17.8464,GB-Mo,Standard
DEMO-P-202601-00148,Mock AWS catalog line 148 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 148; safe for POC uploads.,20.35,Each,17.908,Each,Standard
DEMO-P-202601-00149,Mock AWS catalog line 149 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 149; safe for POC uploads.,20.42,GB-Mo,17.9696,GB-Mo,Standard
DEMO-P-202601-00150,Mock AWS catalog line 150 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 150; safe for POC uploads.,20.49,Each,18.0312,Each,
DEMO-P-202601-00151,Mock AWS catalog line 151 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 151; safe for POC uploads.,20.56,GB-Mo,18.0928,GB-Mo,Standard
DEMO-P-202601-00152,Mock AWS catalog line 152 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 152; safe for POC uploads.,20.63,Each,18.1544,Each,Standard
DEMO-P-202601-00153,Mock AWS catalog line 153 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 153; safe for POC uploads.,20.7,GB-Mo,18.216,GB-Mo,Standard
DEMO-P-202601-00154,Mock AWS catalog line 154 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 154; safe for POC uploads.,20.77,Each,18.2776,Each,Standard
